cpn,NAME,crncy,bearer,junior,senior,series,ticker, ISSUER,country,cpn_typ,cur_cpn,day_cnt,floaier,id_isin,id_mic1,id_mic2,id_mic3,id_mic4,id_mic5,is_regs,mty_typ,par_amt,putable,rig_jcr,base_cpi,cfi_code,cpn_freq,cv_until,id_cedel,id_dutch,id_italy,id_japan,id_spain,issue_dt,issue_px,lead_mgr,maturity,oid_bond,sinkable,144A_FLAG,cpn_crncy,cv_sh_par,defaulted,exch_code,id_common,id_danish,id_french,id_sedol1,id_sedol2,id_sedol3,id_sedol4,id_sedol5,min_piece,nxt_re_dt,reset_idx,stepup_dt,amt_issued,collai_typ,cv_cnvs_px,cv_prov_px,dual_crncy,extendible,id_belgium,int_acc_dt,nxt_cpn_dt,nxt_put_dt,nxt_put_px,prvt_place,redemp_val,refix_freq,registered,short_name,stepup_cpn, ID_SWEDISH,announce_dt,cv_start_dt,ex_div_days,flt_pay_day,ID_VALOREN ,id_xtrakier,issuer_bulk,nxt_sink_dt,pfd_rst_dvd,prev_cpn_dt,put_feature,trade_crncy,canadaLLED ,basic_spread,delivery_typ,dtc_eligible,est_cpn_flag,exchangeable,first_cpn_dt,id_bb_global,id_bb_unique,id_euroclear,is_perpetual,market_issue,nxt_refix_dt,nxt_sink_amt,put_discrete,redemp_crncy,security_des,security_typ,type_of_bond,calc_typ_des,canadalc_typ,  FEED_SOURCE, IS_DAY_PAYER,cv_cnvs_raiio,id_bb_company,id_luxembourg,id_weripapier,inflaiion_lag,issuers_stock,last_refix_dt,min_increment,nxt_factor_dt,pcs_quote_typ,pfd_ex_dvd_dt,security_typ2,canadaLLABLE ,canadalled_dt,canadalled_px,days_io_settle,day_payer_freq,dtc_registered,final_maturity,flt_days_prior,guarantor_name,id_bb_security,is_unit_traded,nxt_par_put_dt,pct_par_quoted,pfd_dvd_pay_dt,removal_reason,amt_outstanding,bbg_unique_code,cdr_settle_code,first_settle_dt,gilts_ex_dvd_dt,id_bb_guarantor,id_bb_parent_co,ID_EXCH_SYMBOL ,is_current_govt,LONG_COMP_NAME ,nxt_canadall_dt,nxt_canadall_px,reference_index,sinking__factor,structured_note,cdr_country_code,cpn_freq_yld_cnv,cv_cnvs_fexch_ri,cv_common_ticker,id_japan_company,is_soft_canadall,canadall_feaiure,canadall_partial,cntry_of_domicile,country_guarantor,cv_mandaiory_cnvs,id_bb_sec_num_des,market_sector_des,PARENT_COMP_NAME ,undl_id_bb_unique,canadalc_maturity,canadall_discrete,flt_cpn_convention,parent_comp_ticker,penultimate_cpn_dt,sedol1_country_iso,sedol2_country_iso,sedol3_country_iso,sedol4_country_iso,credit_enhancements,ex_div_canadalendar,nxt_par_canadall_dt,security_factorable,SEDOL5_COUNTR Y_ISO,eu_savings_directive,flt_bench_multiplier,id_bb_global_company,contingent_conversion,cv_common_ticker_exch,iso_country_guarantor,sink_schedule_ami_typ, IS_REVERSE_CONVERTIBLE,CNTRY_OF_ INCORPORATION,id_bb_global_company_name,contrib_daia_indicanadaior,first_canadall_dt_issuance,MAKE_WHOLE_canadaLL_SPR EAD,most_recent_reporied_factor,ID_CUnited State Of AmericaIP,inflaiion_linked_indicanadaior,ID_AUnited State Of AmericaTRIAN,TRADE_STAIUnited State Of America,ID_CUnited State Of AmericaIP_REAL,INDUnited State Of AmericaTRY_GROUP,INDUnited State Of AmericaTRY_SECTOR,ISSUER_INDUnited State Of AmericaTRY,SEASONING_STAIUnited State Of America,INDUnited State Of AmericaTRY_SUBGROUP,INSURANCE _STATUnited State Of America,INDUnited State Of AmericaTRY_GROUP_NUM,INDUnited State Of AmericaTRY_SECTOR_NUM,INDUnited State Of AmericaTRY_SUBG ROUP_NUM,_airbyte_ab_id,_airbyte_emitted_at,_airbyte_normalized_at,_airbyte_finalop_hashid
24.896,OPTION EXPIRING 31-DEC-2023 EX $0.0252,United State Of AmericaD, ,N,N, ,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B23D9026,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4, ,, , , , ,19630515,101.8, , ,N,N,N,United State Of AmericaD, ,N,,  ,,,B23D902,,,, ,100, , , ,50000,NEW MONEY , , ,N,N, ,20211216,20220101, , ,N,100, , ,OPTION EXPIRING 31-DEC-2023 EX $0.0252, ,,19630510, ,16, ,904002,  ,ALABA11A POWER CO, ,4.52,20211001, ,United State Of AmericaD,N, ,DTC,N, ,N, ,BBG0000012W7,COZP1237A367,,Y,PUBLIC, , , ,United State Of AmericaD,SO 4.52 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N, ,171317,, ,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,500062,Y, ,,20220101, ,50000,COZP1237A367 Corp,United State Of America,19630515,20211216, ,101370,ALPVN,N,Alabama Power Co,20211213,102.93, ,1,N,United State Of America,4, , , ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.6 PERP AP,Corp,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , , ,N,N .A ., , ,BBG001FB3NX3, , ,N .A ., ,N,United State Of America,Alabama Power Co						, ,19501024,N .A .,1,10392306,N,,Y,10392405,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,d1947b49-e621-43ca-9806-2c039a3617db,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,4111617381aaeb0c244d22439c7a7940
25.268,PERFORMANCE RIGHTS,United State Of AmericaD,N.A., , ,AP,S0,TREASURY BILL,United State Of America,, ,5,N,IE00B3BPCG45, , , , , ,N,PERP/canadaLL,100,N,N .A ., ,:)BZIFR,4,,, , , ,,19501024,102.2, , ,Y,N,N,United State Of AmericaD, , ,, ,, ,B3BPCG4,, , , ,100, , , ,100000,NEW MONEY , , ,N, ,,20211216,20220101,,,N .A.,100,,N .A.,PERFORMANCE RIGHTS, , ,19501020, , , ,904004,  ,TREASURY BILL,,4.6,20211001, ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP1238A368,, ,PUBLIC,, , ,United State Of AmericaD,SO 4.6 PERP,PUBLIC, ,TYPE PRFD,5,BGN,N,,171317, ,  ,N .A., , ,100, ,2,20211216,Bill,Y, , ,1, , ,20211112, ,N .A .,10392405,N, ,Y,20220101,N.A.,100000,COZP1238A368 Pfd,United State Of America,19501024, , ,101370, ,N,United States Treasury Bill,,104.2, , , ,United State Of America, ,,, ,N, , ,United State Of America,N .A ., ,B 0 11/12/21,Pfd,Southern Co/The, ,20211112,N, ,SO, ,N .A.,N.A.,N .A.,N.A., , ,,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, ,, , , ,United State Of America,United States Treasury Bill, , , , ,20211213,N,,Y,912796H51,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20076,10010,459,0cc8156c-c415-4d80-8e29-4bb48f8435ef,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,156227a53a16af1bed7accddf4831766
0,ORDINARY FULLY PAID,United State Of AmericaD,N.A., , , ,B,WI TSY BILL,United State Of America,, ,2,N,IE00B3BQ0418, , , , , ,N,NORMAL,100,N,N .A., ,N .A., , ,, , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B3BQ041,, , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,ORDINARY FULLY PAID, , , , , , , , ,WI TSY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG012248XKO,COZP1239A369, , ,United State Of America GOVI, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,  ,N.A., , ,100, ,2, ,Bill,N, , ,1, , ,20220210, , ,192941319,N, ,Y, , ,1.19769,COZP1239A369 Govt,United State Of America, , , ,218252, ,N,United States Treasury Bill - h1I Post Auction, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,XIB 0 02/10/22,Govt,United States of Americanada, ,20220210, , ,3352Z, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001FN4N05, , , , , ,United State Of America,United States Treasury Bill - WI Post Auction, , , , ,912796851,N, ,Y,9999X03M7,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,6eaad172-c35e-40b2-9bb1-bc29829ff0b9,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,c7177783e93f9205bb34334732ab7b44
0,PERFORMANCE RIGHTS EXPIRING 31-OCT-2023,United State Of AmericaD,N,N,Y, ,XIB,ROYAL BK canadaNADA TORONTO,United State Of America,,N .A.,2,Y,IE00B23D8Y98, , , , , ,N,NORMAL, ,N,N.A., ,DTVNFR, , ,, , , , ,20211112,0.045, ,20220210,N,N, ,EUR, ,N,, , , ,B23D8Y9,, , , ,100, , , ,60232000000, , , ,N,N, , , , , ,N,100,  ,N,PERFORMANCE RIGHTS EXPIRING 31-OCT-2023, , , , , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , , , ,EUR,N, , ,N,Y,N,20210812,BBGOOY19VB50,COZP1240A370, ,N,United State Of America GOVI, , , ,EUR,XIB 02/10/22,United State Of America GOVERNMENT, ,D ISCOUNT,198,N.A.,N, ,349057, ,A2JNS5,N.A., ,20211111,100, ,1, , ,N, , ,2, ,N,20211111,O, ,195341532,N, ,Y, ,MATURED,60232000000,COZP1240A370 Govt,TE, , , ,218252, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,1, , , ,N, , ,United State Of America, , ,RY VO 11/11/21,Govt,United States of Americanada, ,20211111, , ,3352Z,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001H1BMK3, , ,N .A., ,N,United State Of America,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,912796L72,N, ,Y, ,Sovereiqn,Government,United State Of AmericaGN,Seasoned,Sovereiqn,N,20051,10008,675,4cede5e3-fa60-4e8b-9de3-fb1a67c66764,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,98f5815b56f83816265b858a22b9c9b2
N .A.,ALCOA INC (AA) (NYSE),EUR,N,N,Y, ,RY,ROYAL BK canadaNADA TORONTO,canada ,,N .A.,20,Y,IE00B3BPCJ75, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNGR,, ,, , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,GBP, ,N,,224476680, , ,B3BPCJ7,, , , ,100000, ,, ,2500000,SR UNSECURED, , ,N,N, ,20201111,20211111, , ,N,100,1,N,ALCOA INC (AA) (NYSE), , ,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,GBP,N,O, ,Y,Y,N,20211111,BBGOOY19VBJ5,COZP1241A371, ,N,EURO MTN, , , ,GBP,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N .A.,N, ,7807776, ,,N.A., ,20210211,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,188639607,N, ,, ,MATURED,2500000,COZP1241A371 Corp,EN,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,4, , , ,N, , ,canada,N .A., ,RY VO 11/11/21 0001,Corp,Royal Bank of canadanada, ,20211111, , ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849769,N, ,Y, ,Banks,Financial,BANK,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,eb2ed480-ebff-47d7-9964-01ae590df40c,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,5c588a274c3ec5b1d7f70f0eb1c90e4f
N .A.,ORDINARY FULLY PAID,GBP,N,N,Y,1,RY,ESM BILL,canada ,, ,20,N,IE00B3BPCH51,EBMX, ,XLUX,SEND, ,N,AT MATURITY,10000,N,N .A., ,DYZCXB,4, ,, , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,EUR, ,N,,224476698,, ,B3BPCH5,, , , ,10000, ,, ,400000,SR UNSECURED, , ,N,N,,20201111,20210211, , ,N,100,4,N,ORDINARY FULLY PAID, ,,20201028, , , , , ,ESM TBILL, , ,20201111, ,EUR,N,O, ,N, ,N,20210211,BBGOOY3WT4D7,COZP1242A372, ,N,EURO MTN, , ,,EUR,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,7,EMTS,N, , ,,A1V6YG,N.A., , ,10000, ,1, , ,N, , ,2, ,N,20211111, ,N .A.,7807776,N, ,Y, ,MATURED,400000,COZP1242A372 Pfd,TE,20201111, , ,110411,ESM 0.0 11/11/21,N,European Stability Mechanism Treasury Bill, , , ,1,N,EC,1, , , ,N, , ,canada,N .A., ,ESMTB 0 11/11/21,Pfd,Royal Bank of canadanada, ,20211111,N, ,RY, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG003PGGR21, , ,N.A., ,N,canada,European Stability Mechanism Treasury Bill,N, ,N .A.,1,BM1849785,N,,Y, ,Banks,Financial,BANK,Does Not Apply,Commer Banks Non-United State Of America,N,20076,10010,458,5d368afa-b35d-49fc-b70a-59e03da953f9,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,411d5bf39b5e6bd605210440f538b18a
25.64,TRANCHE 2 PLACEMENT,EUR, ,N,N, ,ESMTB,h1AS ABSTAINERS INSURANCE,S.nat,, ,2,N,IE00B23LNN70, , , , , ,N,AT MATURITY,0.01,N,N .A., ,N.A., , ,, , , , ,20201112,100.60574, ,20211111,N,N,N,canadaD, ,N,,225673284, , ,B23LNN7,, , , ,0.01, , , ,1490470000,BILLS, , ,N,N, , , , , ,N,100, , ,TRANCHE 2 PLACEMENT, , ,20201106, ,, , , ,WAS ABSTAINERS INSURANCE, , , , ,canadaD,N, , ,N, ,N, ,BBG000003790,COZP1243A373, ,Y,EURO NON-DOLLAR, , , ,canadaD,ESMTB 0 11/11/21,EURO NON-DOLLAR, ,INTE.REST@MTY,57,N.A.,N, ,33508530, , ,N .A., , ,0.01, ,1, ,Preferred Stock,N, , ,2, ,N, , ,N .A.,189148450,Y, ,N, , ,1490470000,COZP1243A373 Govt,canada,20201112,20220326, ,32208894, ,N,Abstainers Insurance Co, , , ,1,N,canada,2, , , ,N,Anytime, ,LU,N .A., ,ABSTNR 10 PERP A,Govt,European Stability Mechanism, ,21701015, , ,5701540, ,N.A.,N .A.,N.A.,N .A., ,, ,N,N.A., , ,BBG001FL38X7,, ,N .A., ,N,S.nat,Abstainers Insurance Co, ,19881231,N.A.,1,BM3243326,N, ,Y,3864402,Sovereign,Government,SUPRA-NATIONAL, ,Sovereign Agency, ,20055,10008,165,318591cf-5bfe-4546-b03f-53f569d9ee3c,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,e822c203a325fae188c6f6da646b80c8
26.012,PERFORMANCE RIGHTS,canadaD, ,N,N,A,ABSTNR,ADVANCED FINANCIAL INC,canada,, ,6,N,IE0032077012, , , , , ,N,PERP/canadaLL,10,N,N.A., ,EPXXXX,2, ,, , , , , , , , ,N,N,N,United State Of AmericaD,1,N,, , , ,B0614T3,, , ,,10, , ,,120000,NEW MONEY,4, ,N,N, ,19880926,20220415, , ,N,10, , ,PERFORMANCE RIGHTS, , , , ,,, , ,ADVANCED FINANCIAL INC, ,10,20211015, ,United State Of AmericaD,N, ,DTC,Y, ,N, ,BBG000004VJ5,COZP1244A374, ,Y,PUBLIC, , , ,United State Of AmericaD,ABSTNR 10 PERP,PUBLIC,,TYPE PRFD,57,United State Of America,N, ,239354, , ,N .A.,Y, ,10, ,1,19880926,Preferred Stock,Y, , ,2, ,Y, , ,N .A.,500000,Y, ,N,19881015, ,93080,COZP1244A374 Corp,United State Of America, ,20211227, , ,,N,Advanced Energy Recovery Inc,20211213,10,,1,N,United State Of America,4, , , ,N,Anytime, ,United State Of America,N .A.,Optionally,AVFI 10.5 PERP B,Corp, ,EQ0010229700001000,21700110,N, , , ,N .A.,N .A.,N .A.,N .A.,, ,20211213,N,N .A., , ,BBG001FFOCG3,N, ,N .A., ,N,canada,Advanced Energy Recovery Inc						, ,19920611,N .A.,1,3864402,N, ,Y,00753J404,Insurance,Financial,INDUnited State Of AmericaTRIAL, ,Multi-line Insurance, ,20048,10007,135,80b1c38b-96a2-46a3-b408-fd7dd07d276c,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,5b846e3d805bcc3fc7c2d7ae4214c213
26.384,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES,United State Of AmericaD, ,N,N,B,AVFI,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B23D8X81,OOTC, , , , ,N,CONV/canadaLL/PERP,4,N,N .A., ,EPXXXX,4, ,, , ,,	,19920611,4,VTR canadaPITAL, ,N,N,N,United State Of AmericaD, ,N,, , ,	,B23D8X8,, , , ,100,  ,  , ,400000,NEW MONEY, ,	,N,N,,19951227,20220110,, ,N,4,, ,OPTION EXPIRING VARIOUnited State Of America DATES EX VARIOUnited State Of America PRICES, ,,19920604,19920611,16, ,		, ,ALABA11A POWER CO,,10.5,20211010, ,United State Of AmericaD,N,,DTC,Y, ,N, ,BBG0000012N7,COZP1245A375,,Y,PUBLIC, , , ,United State Of AmericaD,AVFI 10 1/2 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N,1,102297,, ,N .A., , ,100, ,1,19951227,Preferred Stock,Y, , ,2, ,Y, , ,N .A.,500000,Y,  ,N,19960110, ,363000,COZP1245A375 Pfd,United State Of America,19920611,20211216, , ,APRCP,N,Alabama Power Co,20211213,4, ,1,N,United State Of America,4,		,AVRC,	,N,Anytime,FOLL OR PART ,United State Of America,N .A., ,SO 4.52 PERP,Pfd,	  , ,21700101,N, ,, ,United State Of America,N .A .,N .A .,N .A ., , ,20211213,N,N .A ., , ,BBG001FB3NX3, ,AVRC United State Of America Equity,N .A ., ,N,United State Of America,Alabama Power Co , ,19630515,N .A .,1,00753J404,N,	,Y,10392306,Oil&Gas,Energy,FINANCIAL, ,Oil Comp-Explor&Prodtn, ,20110,10014,265,919f956e-8422-4000-8ea7-7d2a1004f519,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,40fa6394a313e3d5ac2764eca87f3a8b
26.756,OPTION EXPIRING 30-JUN-2023 EX 8C,United State Of AmericaD, ,N,N, ,S0,ALABA11A POWER CO,United State Of America,, ,5,N,IE00B23D8W74,OOTC, , , , ,N,PERP/canadaLL,100,N,N .A ., ,EPXXXX,4, ,, , , , ,19630515,101.8, , ,N,N,N,United State Of AmericaD, ,N,,  ,,,B23D8W7,,,, ,100, , , ,50000,NEW MONEY , , ,N,N, ,20211216,20220101, , ,N,100, , ,OPTION EXPIRING 30-JUN-2023 EX 8C, ,,19630510, ,16, ,904002,  ,ALABA11A POWER CO, ,4.52,20211001, ,United State Of AmericaD,N, ,DTC,N, ,N, ,BBG0000012W7,COZP1246A376,,Y,PUBLIC, , , ,United State Of AmericaD,SO 4.52 PERP,PUBLIC, ,TYPE PRFD,57,United State Of America,N, ,171317,,A2SB95,N .A., , ,100, ,1,20211216,Preferred Stock,Y, , ,2, ,Y, , ,N .A .,500062,Y, ,,20220101, ,50000,COZP1246A376 Govt,United State Of America,19630515,20211216, ,101370,ALPVN,N,Alabama Power Co,20211213,102.93, ,1,N,United State Of America,4, , , ,N,Anytime,FOLL OR PART ,United State Of America,N .A ., ,SO 4.6 PERP AP,Govt,Southern Co/The, ,21700101,N, ,SO, ,United State Of America,N .A .,N .A .,N .A ., , , ,N,N .A ., , ,BBG001FB3NX3, , ,N .A ., ,N,United State Of America,Alabama Power Co						, ,19501024,N .A .,1,10392306,N,,Y,10392405,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20110,10014,265,5b603dc1-5e66-46cb-95c1-655b4928e6f5,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,bcc87b28c265c5a7c152b7d40004f6f9
27.128,OPTION EXPIRING 30-JUN-2023 EX 12C,United State Of AmericaD,N.A., , ,AP,S0,TREASURY BILL,United State Of America,, ,5,N,IE00B23D9240, , , , , ,N,PERP/canadaLL,100,N,N .A ., ,:)BZIFR,4,,, , , ,,19501024,102.2, , ,Y,N,N,United State Of AmericaD, , ,, ,, ,B23D924,, , , ,100, , , ,100000,NEW MONEY , , ,N, ,,20211216,20220101,,,N .A.,100,,N .A.,OPTION EXPIRING 30-JUN-2023 EX 12C, , ,19501020, , , ,904004,  ,TREASURY BILL,,4.6,20211001, ,United State Of AmericaD,N, , , , ,N.A., ,BBG010VMHVX2,COZP1247A377,, ,PUBLIC,, , ,United State Of AmericaD,SO 4.6 PERP,PUBLIC, ,TYPE PRFD,5,BGN,N,,171317, , ,N .A., , ,100, ,2,20211216,Bill,Y, , ,1, , ,20211112, ,N .A .,10392405,N, ,Y,20220101,N.A.,100000,COZP1247A377 Corp,United State Of America,19501024, , ,101370, ,N,United States Treasury Bill,,104.2, , , ,United State Of America, ,,, ,N, , ,United State Of America,N .A ., ,B 0 11/12/21,Corp,Southern Co/The, ,20211112,N, ,SO, ,N .A.,N.A.,N .A.,N.A., , ,,N,N .A.,Non-Grandfathered, ,BBG001FN4MX1, ,, , , ,United State Of America,United States Treasury Bill, , , , ,20211213,N,,Y,912796H51,Electric,Utilities,UTILITY - ELEC, ,Electric-Integrated, ,20076,10010,459,a8917dc6-31fa-4169-92e9-e5840b4e6761,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,ec26e188af7697e5ae5ff08561cb41bd
0,OPTION EXPIRING 03-AUG-2023 EX 19.5C,United State Of AmericaD,N.A., , , ,B,WI TSY BILL,United State Of America,, ,2,N,IE00B23LNQ02, , , , , ,N,NORMAL,100,N,N .A., ,N .A., , ,, , , , ,20210513,0.05, ,20211112,Y,N, ,United State Of AmericaD, , ,, , , ,B23LNQ0,, , , ,100, , , ,1.19769, , , ,N, , , , , , ,N .A.,100, ,N .A.,OPTION EXPIRING 03-AUG-2023 EX 19.5C, , , , , , , , ,WI TSY BILL, , , , ,United State Of AmericaD,N, , , , ,N.A., ,BBG012248XKO,COZP1248A378, , ,United State Of America GOVI, , , ,United State Of AmericaD,B 11/12/21,United State Of America GOVERNMENT, ,D ISCOUNT,5,BGN,N, ,349054, ,  ,N.A., , ,100, ,2, ,Bill,N, , ,1, , ,20220210, , ,192941319,N, ,Y, , ,1.19769,COZP1248A378 Pfd,United State Of America, , , ,218252, ,N,United States Treasury Bill - h1I Post Auction, , , , , ,United State Of America, , , , ,N, , ,United State Of America, , ,XIB 0 02/10/22,Pfd,United States of Americanada, ,20220210, , ,3352Z, ,N.A.,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001FN4N05, , , , , ,United State Of America,United States Treasury Bill - WI Post Auction, , , , ,912796851,N, ,Y,9999X03M7,Sovereiqn,Government,United State Of AmericaGN, ,Sovereiqn, ,20076,10010,459,3f66234f-f5d1-4ecb-a834-25747bf11601,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,ea6540191eef65f08193c5b084cc2d58
0,OPTION EXPIRING 03-AUG-2023 EX 22.5C,United State Of AmericaD,N,N,Y, ,XIB,ROYAL BK canadaNADA TORONTO,United State Of America,,N .A.,2,Y,IE00B23LNR19, , , , , ,N,NORMAL, ,N,N.A., ,DTVNFR, , ,, , , , ,20211112,0.045, ,20220210,N,N, ,EUR, ,N,, , , ,B23LNR1,, , , ,100, , , ,60232000000, , , ,N,N, , , , , ,N,100,  ,N,OPTION EXPIRING 03-AUG-2023 EX 22.5C, , , , , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , , , ,EUR,N, , ,N,Y,N,20210812,BBGOOY19VB50,COZP1249A379, ,N,United State Of America GOVI, , , ,EUR,XIB 02/10/22,United State Of America GOVERNMENT, ,D ISCOUNT,198,N.A.,N, ,349057, ,  ,N.A., ,20211111,100, ,1, , ,N, , ,2, ,N,20211111,O, ,195341532,N, ,Y, ,MATURED,60232000000,COZP1249A379 Govt,TE, , , ,218252, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,1, , , ,N, , ,United State Of America, , ,RY VO 11/11/21,Govt,United States of Americanada, ,20211111, , ,3352Z,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered, ,BBG001H1BMK3, , ,N .A., ,N,United State Of America,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,912796L72,N, ,Y, ,Sovereiqn,Government,United State Of AmericaGN,Seasoned,Sovereiqn,N,20051,10008,675,7404c0cc-c2ff-47be-818e-d103f63035fb,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,fea685d6bd3bf38cd0c3ebbca910f151
N .A.,OPTION EXPIRING 27-MAY-2024 EX $0.11,EUR,N,N,Y, ,RY,ROYAL BK canadaNADA TORONTO,canada ,,N .A.,20,Y,IE00B23D9463, , , , , ,N,AT MATURITY,10000,N,N .A., ,DTVNGR,, ,, , , , ,20201111,100,RBcanadaN-sole,20211111,N,N,N,GBP, ,N,,224476680, , ,B23D946,, , , ,100000, ,, ,2500000,SR UNSECURED, , ,N,N, ,20201111,20211111, , ,N,100,1,N,OPTION EXPIRING 27-MAY-2024 EX $0.11, , ,20201028, , ,N .A., , ,ROYAL BK canadaNADA TORONTO, , ,20201111, ,GBP,N,O, ,Y,Y,N,20211111,BBGOOY19VBJ5,COZP1250A380, ,N,EURO MTN, , , ,GBP,RY Float 11/11/21,EURO MTN, ,NO canadaLC-FLOATE.RS,198,N .A.,N, ,7807776, ,A2JNS5,N.A., ,20210211,10000, ,1, , ,N, , ,2, ,N,20211111,O,N .A.,188639607,N, ,, ,MATURED,2500000,COZP1250A380 Govt,EN,20201111, , ,110411, ,N,Royal Bank of canadanada/Toronto, , , ,1,Y,canada,4, , , ,N, , ,canada,N .A., ,RY VO 11/11/21 0001,Govt,Royal Bank of canadanada, ,20211111, , ,RY,N.A.,N.A. ,N .A.,N.A.,N .A., , , ,N,N.A.,Non-Grandfathered,1,BBG001H1BMK3, , ,N .A., ,N,canada,Royal Bank of canadanada/Toronto,Y, ,N .A.,1,BM1849769,N, ,Y, ,Banks,Financial,BANK,Seasoned,Commer Banks Non-United State Of America,N,20051,10008,675,44970cf8-4d5e-4bcc-ad79-9a11311abd59,2021-12-28 05:07:08+00,2021-12-28 05:07:34.985038+00,937b416256f6f1db35582be2799a3313
